word_from_dataset,matched_main_word,similarity_score
aberdeen,stone,0.11848294920435334
a,sound,0.14158619579825274
abandon,shadow,0.08439897381957531
aaron,rock,0.09214906130973813
a,stone,0.11941446476648576
abbey,shadow,0.06690927741880058
abattoir,light,0.07802043538814202
abalone,stone,0.13779356366218226
abjurer,rock,0.05816199196346955
abjuration,stone,0.07336813141529716
abecedarian,stone,0.09495200173151212
abhorrer,shield,0.06844492503214866
ability,sound,0.10491927320973163
abiogenist,stone,0.07150027523630649
abode,shadow,0.09762720162054081
abnegation,shadow,0.0854622298667611
abominator,shield,0.07773256465280255
abnegator,shadow,0.08469716617323611
abdicator,shield,0.06334777042169315
abraham,stone,0.07403226082757536
absentee,stone,0.08290329108158981
absorbent,stone,0.10098090307703998
abstractionist,shadow,0.07825749882501386
absorptance,light,0.11918895565033134
abrasive,stone,0.09648550265862745
abysm,shadow,0.09841603252847003
aboriginal,light,0.10170635938260515
acalypha,star,0.07420083845119035
academic,shadow,0.09700225274603441
abuse,cure,0.10572433165509977
abstract,stone,0.11848648548600545
acaricide,stone,0.06969630578348858
absolute,cure,0.09472457326872528
acclaim,star,0.06252390153948782
academic,sound,0.07682856184173482
accidence,stone,0.09649087792436244
accord,sound,0.06581405312563403
accusal,shadow,0.08317500690062446
accent,sound,0.1180956775991639
ache,shadow,0.11248862111557398
accusative,light,0.0853579709159165
acedia,rock,0.07331182044709933
accused,shield,0.08040858588372282
achromasia,light,0.11917621958537246
acquisitiveness,rock,0.0857481019650347
acorn,stone,0.1022924271030502
acquisition,cure,0.13452272105101057
acronym,stone,0.06324127390701284
actualization,cure,0.08692653251107593
actress,star,0.06663494805848648
account,sound,0.12356702137426243
ad,stone,0.08023022650780907
action,cure,0.13296286659969095
acting,star,0.11169663518358068
adamant,stone,0.14878901604223427
acts,stone,0.11870366110354803
addict,stone,0.10289119068066874
additive,light,0.0970781444226691
ada,stone,0.08416768939545098
act,light,0.12079978388568076
addendum,light,0.08505680085263877
adherent,stone,0.08302699008273266
adept,stone,0.08636869406529682
adjective,light,0.13752286353226092
admonition,light,0.08870589572876916
adorableness,shadow,0.05554894943960171
address,shadow,0.09447957831484485
adnoun,light,0.090147014097589
adjunct,light,0.11572841752756137
adorability,shadow,0.06855017047417826
adactylism,cure,0.09773438379713917
ado,plague,0.06963111956523853
adulteress,stone,0.06961709332270195
adrian,shield,0.07268916698856998
advert,light,0.11512508149024492
advice,sound,0.12231992393866278
advisor,stone,0.08815103107765349
advertisement,shadow,0.057665991918340154
advisory,sound,0.08860834203000463
adverbial,light,0.06306853778734836
advocate,sound,0.08678180661791009
advance,stone,0.12002838845844883
aerial,light,0.12986175002697875
affliction,plague,0.2726144199598137
affect,flame,0.09371042843925258
affiliate,shield,0.05685117116376805
affirmative,light,0.0763257049092785
affront,echo,0.07588523490821994
affright,light,0.10456533684376329
afterdamp,flame,0.08438442096566114
affix,light,0.07168641257136683
agate,stone,0.17191114372127037
agelessness,shadow,0.08752363977350361
agamemnon,rock,0.07256571711639327
african,shadow,0.0626718563186939
agape,stone,0.08872419140825806
age,light,0.09013416791122429
agglomerator,twig,0.10689538248594259
agglutinogen,stone,0.07230971435888849
agglutinin,rope,0.08638080940113153
aghan,light,0.06708095904712054
agglomerate,rock,0.11127011156971742
agnail,cure,0.08753707930592652
agra,rock,0.07116165963896384
agreeableness,rock,0.06860818816041957
agreeability,shadow,0.07882036466559018
aggregate,stone,0.1415899838791568
agrimony,stone,0.07195238751874847
agriculturist,rock,0.06381547400769283
aid,shield,0.08116650466949094
agreement,cure,0.0873644486614915
airbrush,light,0.08327126320821383
aim,rock,0.0767933662299391
airlift,stone,0.08402435773930621
alabaman,shield,0.12280029613351928
alacrity,sound,0.06024108846910947
aide,shield,0.0705260070890541
airsickness,wind,0.07699683517655556
alarmist,light,0.08986527251849853
alabama,light,0.07965295249331279
alaric,stone,0.07491341919610998
albanian,light,0.06142215761038067
alaskan,stone,0.069104269737576
alarm,sound,0.15544535111743696
albert,star,0.06772197594879881
aku,rock,0.09444870209174079
alcoholic,plague,0.08591837025117295
alert,light,0.08474456070650248
alexander,rock,0.08702892129489667
alehoof,light,0.07939358893842428
algometry,rock,0.06503323548894224
algin,stone,0.07445947212807828
alfred,light,0.06936077596434301
algerian,light,0.058482455033499664
alias,shield,0.07287996384553405
aliment,cure,0.12295318614102536
aliveness,light,0.10247220384325317
alien,stone,0.08047099371336823
alibi,shield,0.07878733015462051
allen,stone,0.06682886877402161
allice,stone,0.08111465014660009
alizarin,stone,0.08206428910381476
allomorph,sound,0.13433822285363725
almandine,rock,0.1034242129806871
ally,shield,0.08343277451289512
allure,stone,0.0996688138777939
alonso,stone,0.07047747086355163
alpinism,rock,0.11912399019362788
altar,stone,0.13881343887588418
altruism,stone,0.0525582337971793
alternative,light,0.12966538059458796
altair,star,0.22762014584670343
amble,light,0.08011674699756678
ambiguity,shadow,0.0912531266440835
ambler,stone,0.07314599026696694
ambivalence,shadow,0.08703206101162617
ambulation,cure,0.11257105133689356
ambush,stone,0.0885561051694832
amazona,stone,0.0777590667033859
ambivalency,shadow,0.10607432219183326
ambrose,rock,0.07779153801934129
amber,light,0.17329764843679898
ambrose,stone,0.08767452666855599
amelia,rock,0.09895796442315014
ambuscade,stone,0.1189770758138819
amiability,shadow,0.06666335565766729
amethyst,shield,0.09875295083936984
ament,wind,0.14139480175411745
amour,shadow,0.06853340881711807
amulet,stone,0.15010582803001693
amylum,stone,0.08528635549214492
amplification,sound,0.19903555008076074
ana,stone,0.09884909829961656
an,sound,0.11874702630057156
ana,rock,0.08464616781343992
anastalsis,cure,0.12545441260476214
anathematization,stone,0.10206349472386134
anacoluthon,wind,0.07634950450675934
ananias,stone,0.05524507057724888
ancestress,light,0.06766892525154143
anchusa,stone,0.1043276526973243
aneurin,stone,0.06003581460880121
anger,flame,0.19700471919818177
angolese,shield,0.07202864275800318
anglophobia,stone,0.059644546715224664
angriness,flame,0.07360758967596995
angiotonin,stone,0.07535348072877539
anguish,plague,0.14632688711183647
animator,star,0.052439917219387976
animosity,shadow,0.06386091653186961
annexa,light,0.10291069292914284
anne,stone,0.0716469586028134
announcer,cure,0.06812883761964776
annotator,shadow,0.07177294413937331
annunciation,stone,0.0835185279745034
annual,light,0.07763365511801217
annex,light,0.09552969962635705
annunciator,star,0.09337551929883564
announcement,stone,0.08353278606807124
anise,stone,0.07196328792931737
anorectic,cure,0.09373483977181662
anonym,light,0.08829643911499802
anopheline,cure,0.06933248783547509
answer,light,0.080272497542419
anodyne,light,0.11262666286865154
antediluvian,light,0.09541416998256855
antennaria,stone,0.08931047861352476
antecedence,star,0.09801693952994969
answerer,shield,0.09279214481914921
anteater,rock,0.07097536678877181
anteroom,shadow,0.06696724164924027
anode,stone,0.05810295591714459
antecedent,echo,0.0902639130962716
ante,stone,0.0990878723127076
anthill,rock,0.06659381668726364
anthony,stone,0.09114470072953967
antiguan,sound,0.0734526263125862
antic,flame,0.07693118793980008
antimycotic,light,0.07699409819084352
antispasmodic,cure,0.09034842585880894
antimalarial,cure,0.11839429064470898
antony,star,0.07703068738047178
antipyretic,cure,0.10971739995431795
antwerp,rock,0.07610015682781274
antitoxin,flame,0.08785287755214533
apathy,light,0.08048502579594058
aperient,cure,0.1087322829753987
aper,stone,0.10251324918180413
anxiety,cure,0.0742331871261153
aphanite,rock,0.1265607608929785
aphesis,stone,0.06756188453305506
antivenin,cure,0.0632040953946091
ape,rock,0.11121438251153096
aperea,sound,0.07559358972632062
aphrodite,rock,0.05529098295693409
aplomb,wind,0.04971000343618619
aponeurosis,shield,0.08267704329215653
apostate,shield,0.07771047068776983
apostasy,rock,0.08825883699023114
apoplexy,flame,0.10198058234752555
apologetics,shield,0.10510994315687515
appalachian,light,0.1002209376638239
