word,Best_Counter_Category
abalone,Rock
abandon,Logic
abattoir,Flame
abbey,Water
abdicator,Gun
abecedarian,Gun
abhorrer,Gun
ability,Logic
abiogenist,Gun
abjuration,Time
abjurer,Gun
abnegation,Sound
abnegator,Gun
abode,Nuclear Bomb
abominator,Gun
aboriginal,Gun
abrasive,Nuclear Bomb
absentee,Logic
absolute,Logic
absorbent,Nuclear Bomb
absorptance,Nuclear Bomb
abstract,Entropy
abstractionist,Gun
abuse,Logic
abysm,Nuclear Bomb
acaricide,Nuclear Bomb
accent,Sound
accidence,Nuclear Bomb
acclaim,Sound
accord,Logic
account,Logic
accusal,Nuclear Bomb
accusative,Logic
accused,Logic
acedia,Peace
ache,Logic
achromasia,Nuclear Bomb
acorn,Nuclear Bomb
acquisition,Nuclear Bomb
acquisitiveness,Nuclear Bomb
acronym,Nuclear Bomb
act,Nuclear Bomb
acting,Nuclear Bomb
action,Logic
actress,Gun
actualization,Nuclear Bomb
ad,Nuclear Bomb
adactylism,Nuclear Bomb
adamant,Nuclear Bomb
addendum,Nuclear Bomb
addict,Gun
additive,Nuclear Bomb
adept,Logic
adherent,Nuclear Bomb
adjective,Nuclear Bomb
adjunct,Logic
admonition,Logic
adnoun,Nuclear Bomb
ado,Nuclear Bomb
adorability,Nuclear Bomb
adorableness,Nuclear Bomb
adulteress,Gun
advance,Logic
adverbial,Nuclear Bomb
advert,Nuclear Bomb
advertisement,Nuclear Bomb
advice,Logic
advisor,Gun
advisory,Nuclear Bomb
advocate,Logic
aerial,Nuclear Bomb
affect,Nuclear Bomb
affiliate,Nuclear Bomb
affirmative,Logic
affix,Nuclear Bomb
affliction,Logic
affright,Nuclear Bomb
affront,Logic
afterdamp,Nuclear Bomb
agape,Nuclear Bomb
agate,Nuclear Bomb
age,Nuclear Bomb
agelessness,Time
agglomerate,Nuclear Bomb
agglomerator,Gun
agglutinin,Nuclear Bomb
agglutinogen,Nuclear Bomb
aggregate,Nuclear Bomb
agnail,Nuclear Bomb
agreeability,Nuclear Bomb
agreeableness,Nuclear Bomb
agreement,Logic
agriculturist,Gun
agrimony,Nuclear Bomb
aid,Logic
aide,Gun
aim,Nuclear Bomb
air,Flame
airbrush,Nuclear Bomb
airlift,Nuclear Bomb
airsickness,Nuclear Bomb
aku,Nuclear Bomb
alacrity,Nuclear Bomb
alarm,Logic
alarmist,Gun
alcoholic,Gun
alehoof,Nuclear Bomb
alert,Nuclear Bomb
algin,Nuclear Bomb
algometry,Nuclear Bomb
alias,Nuclear Bomb
alibi,Nuclear Bomb
alien,Logic
aliment,Nuclear Bomb
aliveness,Nuclear Bomb
alizarin,Nuclear Bomb
allice,Nuclear Bomb
allomorph,Nuclear Bomb
allure,Logic
almandine,Nuclear Bomb
altar,Nuclear Bomb
alternative,Nuclear Bomb
altruism,Nuclear Bomb
amber,Nuclear Bomb
ambiguity,Nuclear Bomb
ambivalence,Entropy
ambivalency,Entropy
amble,Nuclear Bomb
ambler,Nuclear Bomb
ambulation,Nuclear Bomb
ambuscade,Nuclear Bomb
ambush,Logic
ament,Nuclear Bomb
amethyst,Nuclear Bomb
amiability,Nuclear Bomb
amount,Nuclear Bomb
amour,Logic
amplification,Nuclear Bomb
amulet,Nuclear Bomb
amylum,Nuclear Bomb
anacoluthon,Nuclear Bomb
anastalsis,Nuclear Bomb
anathematization,Nuclear Bomb
ancestress,Gun
aneurin,Nuclear Bomb
anger,Logic
angiotonin,Nuclear Bomb
angriness,Nuclear Bomb
anguish,Logic
animator,Gun
animosity,Logic
